"Released","Genre","Casts","Duration","Country","Production","Title"
"2022-08-04","Drama","Willi Ribeiro, David Caracol, Meili Li, Cláudia Púcuta,","98 min","Angola","Geração 80","Our Lady of the Chinese Shop"
"2022-08-16","Documentary, Music","Dave Grohl, John Foxx, Gary Numan, Jean-Michel Jarre,","90 min","N/A","Sky Arts","Gary Numan: Resurrection"
"2022-08-31","Comedy","Julian Galea, Torrey Richardson, Mike Ferguson, Kurt Collins, Liza Galea","60 min","Australia","Galea Pictures","Brothers from Malta"
"2022-05-15","Documentary","Richard Max,","43 min","N/A","Discovery Docs","Uncovering Fukushima"
"2023-06-07","Drama, Music","Maisie Owens, Leigh Ivin, Timothy Blundell, Jackie Marshall, Matthew Heys","88 min","Australia","N/A","Three Chords and the Truth"
"2022-01-20","Documentary, Music","Dean Reed,","91 min","United Kingdom, United States of America","Talos Films, CuriosityStream, Curiosity Stream","Red Elvis: The Cold War Cowboy"
"2022-11-05","Drama, Crime","Corrigan Coleman, Bruce Zelaya, Allana De'Nai, Jasmine Garlic, Kalvin Kosha","83 min","N/A","N/A","Mahogany"
"2025-05-23","Action","Jade Tailor, Marguerite Moreau, Graham Greene, Christopher Redman, Treci Lane","102 min","United States of America","N/A","The Protector"
"2025-09-18","Drama, Romance","Anja Karmanski, Katja Riemann, Meral Perin, Ilknur Boyraz, Serkan Çayoglu","107 min","Germany, Turkey","CB Medya, Dark Bay","She Said Maybe"
"2025-05-16","Action","Kacy Owens, Robert Laenen, James Oliver Wheatley, Akina Wylie, Randall J. Bacon","90 min","United States of America","Mind the GAP Productions, 4th Rock, Buffalo Speedway Film Company","Burner"
"2025-07-18","Drama","Nagesh Bhonsle, Siddharth Jadhav, Bijay Anand, Vanita Kharat, Tejaswini Pandit","136 min","India","Nuclear Arrow Pictures","Yere Yere Paisa 3"
"2025-03-07","Documentary","Miquita Oliver, Stella McCartney, Charlotte Gainsbourg, Pattie Boyd, Brooke Shields","90 min","United Kingdom","Soho Talent, Reel Time, BBC, Film Soho, Mask Productions, Captain Dolly, British Broadcasting Corporation","Twiggy"
"2025-09-13","Comedy, Fantasy","N/A","95 min","Mexico","N/A","El metafísico"
"2023-11-01","Documentary, Mystery","N/A","75 min","Canada","N/A","Searching for Satoshi: the Mysterious Disappearance of the Bitcoin Creator"
"2024-04-03","Comedy, Drama","Esther Liu, Yang Li-yin, Ya-Ling Chang, Lee Lieh, Charles Lelaure","106 min","France, Taiwan","Bole Film","Salli"
"2025-09-18","Action, Crime, Comedy, Thriller","Tristan de Beer, Rick Hoffman, Daniah De Villiers, Neil Sandilands, Dylan Skews","114 min","South Africa, United States of America","Highland Film Group, Short Porch Pictures, Buffalo 8, Mannequin Pictures, Highland Film Group (HFG)","London Calling"
"2025-09-18","Horror, Mystery","Greg Lutz, Richard Lippert, Mark Speno, Indira G. Wilson, Bryce Dylan","96 min","United States of America","Monkeypaw Productions","HIM"
"2025-03-20","Action","Juan A. Baptista, Diana Hoyos, Marilyn Patiño, Carlos Manuel Vesga, Andrés Castañeda","83 min","Colombia","Valencia Producciones FX","Donde Tú Quieras"
"2025-01-01","Drama, Mystery","Andres Maximiliano Chavarria, Kara Rainer, Jody Dean, Evelyn Owen, Brett Caroline Butler","47 min","United States of America","Veenaa Vedika Productions Private Limited","Chiquita"
"2025-03-06","Comedy","Gabriel Avellar, Marcelo Mansfield , Wandi Doratiotto, Ale McHaddo, Felipe Torres","95 min","Brazil","Warner Bros. Pictures Brasil, 44 Filmes, 44 Toons, Agência Nacional do Cinema - ANCINE, Banco Regional de Desenvolvimento do Extremo Sul, Fundo Setorial do Audiovisual, Downtown Filmes, Ancine","A Bright Lawyer"
"2025-09-17","Romance, Fantasy, Drama","Lily Rabe, Jennifer Grant, Jason Kravits, Margot Robbie, Kevin Kline","109 min","United States of America, Ireland","Imperative Entertainment, 30WEST, Columbia Pictures, Chapel Place Productions, Tempo Basho, Original Films","A Big Bold Beautiful Journey"
"2025-09-19","Action, War, Thriller, History","Shane Kosugi, Peter Shinkoda, Michael Copon, Donald Cerrone, Sol Eugenio","112 min","Philippines, United States of America","Well Go USA Entertainment, Brand in Motion, Myriad Entertainment Corp., Odyssey Motion Pictures, Reality RR Studios","Prisoner of War"
"2025-07-25","Animation, Action, Fantasy, Drama","Ajay Singhal, Priyanka Bhandari, Saanwari Yagnik, Haripriya Matta, Sanket Jaiswal","131 min","India","Hombale Films, Kleem Productions","Mahavatar Narsimha"
"2025-09-18","Documentary, TV Movie","Bertie Gregory,","45 min","United States of America, United Kingdom","National Geographic, Wildstar Films","Dolphins Up Close with Bertie Gregory"
"2024-11-10","Thriller, Horror","Cinzia Monreale, Giulia Elettra Gorietti, Charlotte Kirk, Anna Maria Sieklucka, Zach McGowan","101 min","United Kingdom","N/A","Compulsion"
"2025-09-19","Thriller, Mystery","Josh Whitehouse, Jeremy Ang Jones, Tim Plester, Christiane Paul, Daniela Melchior","93 min","Germany, United States of America","Elsani Film, Baltimore Pictures, Elsani & Neary Media, Myriad Pictures, Brainstorm Media, MMC Movies","American Sweatshop"
"2024-05-10","Drama","Christy Imperial, Yda Manzano, Candy Veloso, Ghion Espinosa, Jem Milton","44 min","Philippines","Vivamax","Dirty Ice Cream"
"2025-08-29","Comedy","Melanie Lynskey, Owen Teague, Johanna Colón, Everett Blunck, Aurora Richards","90 min","United States of America","Honor Role, Spiral Stairs Entertainment, Tricky Knot, Coveside Films","Griffin in Summer"
"2025-09-19","Drama, Comedy","Jay Lycurgo, Tracey Ullman, Youssef Kerkour, Joshua J. Parker, Roger Allam","92 min","Ireland","Big Things Films","Steve"
"2023-08-24","Drama","Jesse Daniel Hughes,","65 min","United States of America","N/A","Pieces We Leave Behind"
"2025-09-10","Talk","John Lunn, Raquel Cassidy, Allen Leech, Phyllis Logan, Penelope Wilton","42 min","United States of America, United Kingdom","NBC","Downton Abbey Celebrates the Grand Finale"
"2022-08-18","Thriller, Drama","Christian Nilsson, Stephanie Hains, Jonathon Strauss, Terence Krey, Christine Nyland","80 min","United States of America","Unquiet Films","Distress Signals"
"2021-09-06","Drama, TV Movie","Wallerand Denormandie, Odile Vuillemin, Agathe Bonitzer, Pierre Rochefort, Nicolas Wanczycki","88 min","France","Alauda Films","Two Women"
"2022-12-20","Crime, TV Movie","Sophie de Fürst, Arié Elmaleh, Baya Rehaz, Marius Colucci, Gaëlle Bona","93 min","France","Septembre Productions","Rendez-vous avec le Crime"
"2022-09-17","Drama, Comedy, Romance","Wiktor Dzieduch, Dariusz Szymczak, Sebastian Stankiewicz, Wiktoria Supryn, Irena Laprus","19 min","Poland","Lodz Film School, Lodz Film School","A Dead Marriage"
"2024-09-21","Comedy","Jacqueline Blom, Barbara Sloesen, Kiefer Zwart, Paul de Leeuw, Laura Bakker","105 min","Netherlands","Halal, 100% Film & Photography","This Is Not a Christmas Movie"
"2022-11-03","Drama","Emilia Clarke, Sophie Wu, Sara Powell, Gerald Kyd, Robert Glenister","150 min","United Kingdom","National Theatre","National Theatre Live: The Seagull"
"2022-02-01","Drama, Horror, Thriller","Laura Serena, Sebastiano Pigazzi,","49 min","Italy","Sangre Malo Film","Scarrafone"
"2022-06-16","Drama","Goran Bogdan, Nina Violić, Lee Delong, Bruno Frketić Bajić,","76 min","Croatia","Spiritus Movens, Terminal 3, Propeler Film, Zagreb Film, Antitalent, Antitalent Produkcija","Kick and Scream"
"2023-03-23","Drama","Yaakov Zada Daniel, Lena Fraifeld, Avraham Shalom Levi, Dasha Tvoronovych,","76 min","Israel, Ukraine","Lama Films, ForeFilms, Lama Films","Valeria Is Getting Married"
"2022-05-06","Drama","Gippy Grewal, Gurpreet Ghuggi, Divya Dutta, Rana Ranbir, Raghveer Boli","135 min","N/A","Humble Motion Pictures","Maa"
"2022-11-18","Drama","Yu-De Song, Yang Ching-huang, Yang Li-yin, Ah-Pao, Hu Jhih-ciang","135 min","Hong Kong, Taiwan","Atom Cinema, Kaohsiung Film Fund, Taichung Film Development Foundation, 66cc Company Limited, Distribution Workshop, Just Creative Studio","Coo-Coo 043"
"2021-11-19","Action","Dheeraj Kumar, Gippy Grewal, Prince Kanwaljit Singh, Aman Kotish,","124 min","India","N/A","Warning"
"2025-09-19","Drama, Comedy","Jon Heder, Sofia Masson, Camille Razat, David Gueriera, Rob Corddry","104 min","United States of America","Filmin'Tahiti, Deano Productions, Fallout Entertainment, Billy Zane Productions","Waltzing with Brando"
"2025-09-19","Drama, Thriller","Matthew McConaughey, Danny McCarthy, Ashlie Atkinson, Gary Kraus, Jermaine Washington","130 min","United States of America","Blumhouse Productions, Comet Pictures, Apple Studios","The Lost Bus"
"2025-09-20","Family, Comedy, Adventure, Animation","Kristen Wiig, Eduardo Franco, Juliet Donenfeld, Maggie Lowe, Jason Mantzoukas","98 min","United States of America","Universal Pictures, DreamWorks Animation","Gabby's Dollhouse: The Movie"
"2023-04-06","Comedy, Thriller, Drama","Allard Geerlings, Michele Riondino, Andrea Vass, Raymond Thiry, Aus Greidanus","107 min","Germany, Netherlands","IJswater Films BV, Fiction Park","The Man from Rome"
"2023-10-11","Drama","Liev Schreiber, Danny Huston, Sabrina Impacciatore, Matilda De Angelis, Giulio Berruti","106 min","United Kingdom","Tribune Pictures, BMovie Italia, Rabbits Black","Across the River and into the Trees"
"2025-09-19","Adventure, Drama, Mystery, Science Fiction","Michael-John Wolfe, Lulu Wilson, Paul Schneider, Ron Roggé, Rupert Reyes","107 min","United States of America","HartBeat Productions, The Henson Company","Xeno"
"2025-09-20","Drama, Comedy","N/A","199 min","United States of America","World Wrestling Entertainment (WWE), World Wrestling Entertainment (WWE)","WWE Wrestlepalooza 2025"
"2023-08-04","Horror, Thriller","Shilpa Manjunath, Rajendran, Ananya Mani, Natarajan Subramaniam, Shaashvi Bala","118 min","India","CreepyTV, Velan Productions (IN)","Web"
"2025-09-18","Drama","Brandon Flynn, Mary Stuart Masterson, Major Dodge, Lance Allen Kramer, Michael Chiklis","99 min","United States of America","Wayfarer Studios, Ten Acre Films, Select Films","The Senior"
"2025-10-16","Horror, Thriller","Matty Finochio, Lonni Olson, Jessica Clement, Savannah Miller, David Feehan","93 min","United States of America","Not The Funeral Home, Superchill, IFC Films, Superchill","Night of the Reaper"
"2025-05-16","Horror","N/A","82 min","United States of America","N/A","Manor of Darkness"
"2025-09-13","Documentary, Music","Sarah McLachlan, Olivia Rodrigo, Bonnie Raitt, Sheryl Crow, Jewel","99 min","Canada, United States of America, Australia","Chicago Media Project, EPIC, Minderoo Pictures, Elevation Pictures, Not A Real Production Company, White Horse Pictures, CBC Docs, Sobey Road Entertainment, ABC News Studios, Epic","Lilith Fair: Building a Mystery"
"2025-09-19","Comedy","Caleb Hearon,","61 min","United States of America","N/A","Caleb Hearon: Model Comedian"
"2024-10-23","Animation, Adventure, Family","José Garcia, Antoine Tomé, Prune Bozo, Augustin Jacob, Vincent Paronnaud","81 min","France, Luxembourg","je suis bien content, Gao Shan Pictures, Amopix, ZEILT productions, France 3 Cinéma, Ev.L Prod, Le Pacte","Into the Wonderwoods"
"2025-07-11","Western, Thriller, Action","N/A","92 min","United States of America","Lucky Number 8 Productions, Rebellium Films, Watch The Footage","Cottonmouth"
"2025-09-26","Horror, Science Fiction, Thriller","Macy Gray, Gabriel Luna, Laurence Fishburne, Reza Diako, Kate Mara","90 min","United States of America","Fuller Media, The Wonder Company, Wild Atlantic Pictures","The Astronaut"
"2022-05-12","Adventure, Drama, Thriller","Elliott Wooster, Dane Foxx, Sophie Turner, Laurel Marsden, Corey Hawkins","108 min","N/A","EMH Consulting Group, Gunpowder & Sky","Survive"
"2022-01-21","Drama","Elaiza Ikeda, Tasuku Emoto, Mayu Yamaguchi, Masaya Sano, Makiko Watanabe","113 min","Japan","Kadokawa, Kadokawa Pictures","The Midnight Maiden War"
"2022-11-09","Thriller","Steve Machita, Luqman A. Agiya, Sheila Ball, Shelby Hightower, Briana Cortesiano","94 min","United States of America","Deck of Cards Entertainment, Long Money Entertainment","By Deception"
"2022-07-09","Horror","Marcus Massey, Genna Loskutnikov, Julia Quayle, Giedre Jackyte, Jo Barker","86 min","United Kingdom","ChampDog Films","Tooth Fairy: Queen of Pain"
"2022-08-27","Thriller","Dee Hill, Shavon Majoi, Natoya Danielle, Dakarai Akil, Jazmyne Bledsoe","84 min","United States of America","Purple Hart Productions","The Ring Widow"
"2022-01-04","Drama, Romance","Judi Johnson, Karon Riley, Jael Roberson, Brad James, J'niyah Carter","84 min","United States of America","Maverick Entertainment Group, Maverick Entertainment Group","The Love We Had"
"2022-10-04","Thriller","Terrance Mays, Haydence Thompson, April Dillard, Marvin Young, Damian Jermaine Valentine","77 min","N/A","N/A","The Foreign Exchange Student 2: The Hunt"
"2022-12-06","Crime, Drama","Brandon Medlock, Kris D'Sha, Adrian Allbiz Black, Jarric Tucker, Kasey Evans","83 min","N/A","N/A","The Drop Spot"
"2022-11-01","Drama, Fantasy","Sara Watson, Joshua T. Shipman, Carla Mahaffee, Amiri Thompson, Harriet Burnette","89 min","United States of America","Maverick Entertainment Group, B.R. Films, Maverick Entertainment Group, B.R. Films","The Christmas Spirit"
"2022-10-19","TV Movie, Comedy, Romance, Family","Luke Humphrey, Maria Syrgiannis, Marie Dame, Laura Miyata, Karen Glave","90 min","Canada, United States of America","CME Summer Productions, Champlain Media, Reel One Entertainment","Love and the Radio Star"
"2025-09-12","Documentary","N/A","90 min","United States of America, Afghanistan","See It Now Studios, Jigsaw Productions, Amblin Documentaries, The Washington Post, See It Now Studios","Bodyguard of Lies"
"2025-09-22","Comedy","Cristela Alonzo,","62 min","United States of America","Push It Productions","Cristela Alonzo: Upper Classy"
"2025-09-19","Comedy, Crime, Drama, Mystery","Anthony Carrigan, Kaya Scodelario, Nck Name, Patrick Publow, Josh Gad","97 min","United States of America","Olive Hill Media, Fresh Fish Films, Aperture Media Partners","Adulthood"
"2024-04-02","Horror","Charlie Bonner, Richard Croxford, Emily Lamey, Warren McCook, Rían Early","96 min","United Kingdom","Village Films, Village Films","The Glenarma Tapes"
"2025-09-20","Crime, Drama, TV Movie","Sarah Cleveland, Ashley Jones, Mark Ballantyne, Kristen Kurnik, Steve Byers","90 min","United States of America, Canada","Lifetime, Studio TF1","The Girl Who Survived: The Alina Thompson Story"
"2022-08-28","Thriller, Horror","Andrea Deck, Matthew Jure, Luke Mably, Brendan Patricks, Howard Lee","88 min","United Kingdom","Starfish Films","The Ghost Writer"
"2025-04-30","Drama, History, Family","Jonathan Byington, Skyler M. Day, Nick Mathews, Paul Cartwright, Sarah Kent","103 min","United States of America","Remember Films","Raising the Bar: The Alma Richards Story"
"2025-09-21","Crime, Drama, TV Movie","Meghan Carrasquillo, Jessica Morris, John Castle, William McKinney, Daniel Di Amante","90 min","United States of America","Storyteller Studios","No One Believed Me"
"2025-09-18","Drama, War","Jiang Wu, Zhang Qi, Yasuyuki Hirata, Li Naiwen, Irene Wan","125 min","China","Changchun Film Studio, Poly Film Investment Co.,Ltd, 北京环鹰时代文化传媒有限公司","731"
"2025-09-18","Action, Horror, Thriller, War","Lee Halley, Lauren Grimson, Sam Parsonson, Tristan McKinnon, Maximillian Johnson","87 min","Australia","Bronte Pictures, Pictures in Paradise","Beast of War"
"2025-09-13","Drama, TV Movie","Jon McLaren, Keana Bastidas, Cassandra Potenza, Matthew MacFadzean, Marilu Henner","87 min","United States of America, Canada","1Department Entertainment Services, Lighthouse Pictures, Wishing Floor Films","A Husband to Die For: The Lisa Aguilar Story"
"2022-01-17","Family, Animation, Action, Adventure","Adrian Petriw, Omari Newton, Elyse Maloway, Brian Dobson, Michael Daingerfield","22 min","United States of America","LEGO, Marvel Entertainment, Atomic Cartoons","LEGO Marvel Avengers: Time Twisted"
"2022-10-25","Documentary","Claire Lauda, Mathias Lauda, Chris Hoy, James Hunt, Jo Hunt","84 min","United Kingdom","N/A","Hunt vs Lauda: The Next Generation"
"2022-12-06","Drama, Action","Tom Wopat, Patrick Johnson, Gregory Alan Williams, Casper Van Dien, Hunter Thore","95 min","United States of America","Big Indie Pictures, Imagicomm Entertainment, INSP Films","County Line: No Fear"
"2022-10-01","N/A","Stacey DePass, Logan Nicholson, Tyrone Savage, Christina Churchill, Stephany Seki","N/A min","N/A","N/A","Caillou: The Silver Knight"
"2022-11-01","Drama, Romance","Clifton Powell, Reginae Carter, Lil' Zane, Sean Freeman, Ernestine Johnson","95 min","N/A","N/A","Boxed In"
"2022-08-03","Drama","Kiran Peethambaran, Divya Prabha, Danish Husain, Faisal Malik, Kunchacko Boban","107 min","India","Shebin Backer Films, Kunchacko Boban Productions, Moving Narratives","Ariyippu"
"2022-09-08","Music, Drama, Romance, Comedy","Lorenzo Germeno, Adam Bousdoukos, Lavinia Wilson, Safira Robens, Andrea Guo","100 min","Germany","Neue Bioskop Film, Bioskop-Film GmbH","All for Ella"
"2023-10-10","Drama","Angela Maria, Wilma Macedo, Vinicius Bustani, Bruno Jefferson, Terena França","107 min","Brazil","Plano 3 Filmes","Bittersweet Rain"
"2023-09-22","Documentary","Marion Wickerd, Franklin Ruona, Bill Pillars, Jonathan Chiu, Ronnie Goodman","90 min","United States of America","ESPN Films, ESPN","26.2 to Life"
"2022-11-21","History, TV Movie","Tuheï Adams, Sam Chemoul, Alexia Barlier, Manuarii Bonnefin, Bernard Le Coq","98 min","France","GMT Productions, France Télévisions","La Dernière Reine de Tahiti"
"2024-12-19","Drama, Music, History","Dimitris Kapouranis, Yiorgos Gallos, Alexandros Bourdoumis, Panagos Ioakeim, Agoritsa Oikonomou","132 min","Greece, Norway","Tanweer Productions, Black Orange, Cosmote TV, Ekome, Finos Film, Stardust Effects, Tanweer Alliances, Aegean Oil, Black Orange Productions S.A","Stelios"
"2024-10-09","Action, Drama, Western","Tracy Melchior, Don Wilson, Richard Norton, Forbes Riley, Robert Clancy","116 min","United States of America","Cynthia Rothrock Productions, The Marlowe-Pugnetti Company","Black Creek"
"2025-08-08","Documentary, Music","Judy Garland, Aimee Mann, Ben Harper, Chris Cornell, Jimmy Page","106 min","United States of America, United Kingdom","Disarming Films, Topic Studios, Plan B Entertainment, Fremantle, Fremantle","It's Never Over, Jeff Buckley"
"2025-06-06","Drama, Thriller","Sergi López, Richard Bellamy, Jade Oukid, Joshua Liam Herderson, Bruno Núñez","110 min","Spain, France","Movistar Plus+, Los Desertores Films, Telefónica Audiovisual Digital, Filmes da Ermida, El Deseo, Uri Films, 4 à 4 Productions, Movistar+","Sirāt"
"2023-04-15","Crime, Drama","Maxi Geithner, Marc Benjamin Puch, David Bredin, Thomas Halle, Susana Abdulmajid","72 min","Germany","FinderlohnFilm","Monolith"
"2024-08-29","Documentary","N/A","100 min","United Kingdom, United States of America","HiddenLight Productions, Story Force, Excellent Cadaver, Out of Nowhere","Zurawski v Texas"
"2024-08-13","Documentary","N/A","89 min","Australia","N/A","Twilight Time"
"2025-01-11","TV Movie, Drama, Thriller","Marito Lopez, Alessio Andrada, Johnathan Sousa, Marisa McIntyre, Mitchell Jaramillo","87 min","United States of America","Cineflix Productions","Terror Comes Knocking: The Marcela Borges Story"
"2024-11-20","Documentary","Krystal Kurley, Noémie Merlant, Laure Murat, Françoise Vergès, Epli","90 min","France","ARTE, Les Batelières Productions, ARTE","Looking for Simone"
"2025-06-19","Documentary, Music","Warren Ellis, Femke den Haas, Diane Ellis, John Ellis,","106 min","Australia","Good Thing Productions, GoodThing Productions","Ellis Park"
"2023-06-23","Documentary","Michael Childers, Brenda Vaccaro, Charles Kaiser, Jennifer Salt, Bob Balaban","102 min","United States of America","Augusta Films","Desperate Souls, Dark City and the Legend of Midnight Cowboy"
"2023-06-16","Drama, Comedy, Family","Bindu Panicker, Shine Tom Chacko, Biju Sopanam, Maniyanpilla Raju, Saiju Kurup","119 min","India","B3M Creations","Madhura Manohara Moham"
"2023-12-13","Adventure, Animation, Family, Fantasy","Maryne Bertieaux, Benjamin Gasquet, Eric de Staercke, Aurélie Konaté, David Dos Santos","80 min","France, Belgium","Sacrebleu Productions, Haut et Court, Ciel de Paris Production, Take Five, Kinology, Auvergne-Rhône-Alpes Cinéma, Parangon, Le Studio Animation, RTBF, Auvergne Rhône-Alpes Cinéma, Take Five, Radio Télévision Belge Francophone","Sirocco and the Kingdom of Winds"
"2024-10-24","Animation","Soa De Muse,","15 min","France, Israel","Sacrebleu Productions","Maurice's Bar"
"2023-10-06","Documentary","Vahe Keushguerian, Moe Momtazi, Naseem Momtazi, Aimee Keushguerian, Armen Khachaturian","84 min","United States of America","Forgotten Man Films","Somm: Cup of Salvation"
"2023-10-27","Horror, Thriller, Drama, Science Fiction","Sean O'Bryan, Carol Chromicky, Kathy Becker, Rebekah Kennedy, Will Tranfo","70 min","United States of America","FilmFrontier, Due North Pictures LLC","The Veil"
"2023-10-27","Horror, Fantasy","Tara Fitzgerald, Anthony Waller, Arben Bajraktaraj, Elizabeth Hurley, Jurijs Djakonovs","105 min","Latvia, United Kingdom","Cometstone Pictures, VMI Worldwide, VMI Worldwide","The Piper"
"2023-01-12","Comedy","Bento Ribeiro, Cristina Pereira, Felipe Torres, Rodrigo de Arruda, Thelmo Fernandes","83 min","Brazil, United States of America","Casé Filmes, Imagem Filmes, Riofilme, Orion Pictures, Orion Pictures, Rio Filme","Nas Ondas da Fé"
"2023-02-27","Horror","Jenn Nobile, Katie Raulerson, Tony Murphy, Suzanne Johnson, Malcolm Green","94 min","N/A","N/A","The Things We Cannot Change"
"2022-06-17","Science Fiction, Music, Comedy","J.T. Chapman, A. J. Ditty, Truck Shepherd, Patrick Willems, Nicholas Kmet","89 min","United States of America","Nebula","Night of the Coconut"
"2022-09-29","Comedy, Drama, Romance","Lior Ashkenazi, Sasson Gabai, Kobi Faraj, Keren Tzur, Talleen Abu Hanna","104 min","Israel","Gaudeamus Productions, Liminal Content, Greenwich Entertainment","Karaoke"
"2025-09-11","Documentary","Bob Costas, Richard Linklater, Michael Keaton, Rita Moreno, Roberto Clemente","101 min","United States of America","Vinegar Hill Productions","Clemente"
"2024-11-13","Documentary","N/A","35 min","United States of America","Message Pictures, SO'B Productions","The Devil Is Busy"
"2024-10-01","Horror, Drama, Thriller","Paton Ashbrook, Sathya Sridharan, Chinaza Uche, Caitlin Zoz,","72 min","United States of America","N/A","Come Home"
"2024-10-03","Drama, Horror, Thriller","Meteora Fontana, Cristian Gamero, Mikael Lacko, Mara López,","90 min","Mexico, Spain","Etérea Films, Prismaticoos Films","Estela"
"2025-09-23","Thriller, Action","Emma Thompson, Laurel Marsden, Lloyd Hutchinson, Judy Greer, Cúán Hosty-Blaney","98 min","Germany, United States of America","Stampede Ventures, Augenschein Filmproduktion, ZDF, Leonine Studios, Leonine","Dead of Winter"
"2022-05-01","Horror","Riann Steele, David Horovitch, Sophie Thompson, Jonathan Nyati, Taliyah Blair","93 min","United Kingdom","Cryptoscope Films","The Creeping"
"2025-08-27","Romance, Comedy","VTV Ganesh, Nara Rohith, Satya, Naresh, Viswant Duddumpudi","138 min","India","Sandeep Picture Palace","Sundarakanda"
"2024-12-25","Horror","Zach Ireland, Enrique Gil, Raf Pineda, Rob Gomez, Jane De Leon","91 min","Philippines, South Korea","Reality MM Studios, Group Eight","Strange Frequencies: Taiwan Killer Hospital"
"2025-01-15","Documentary","Mark Brown,","104 min","France","Andolfi","7 Walks with Mark Brown"
"2024-11-20","Mystery, Thriller","Song Seung-heon, Park Ji-hyun, Yoon Se-woong, Jo Yeo-jeong, Park Seong-geun","113 min","South Korea","Studio & New","Hidden Face"
"2025-08-20","Science Fiction, Action, Comedy","Eden Epstein, Daniel Bernhardt, George Somner, Kristofer Hivju, Olga Kurylenko","105 min","United States of America","Endurance Media, G-BASE, Original Film, CAA Media Finance","Afterburn"
"2025-09-19","Horror, Thriller","Darron Meyer, N’kone Mametja, Daniel Janks, Deoudoné Pretorius, Robyn Scott","96 min","South Africa","N/A","Takeout"
"2023-09-24","Drama","Colin McCalla, John Howard, Jake Holley, Nigel Siwabessy, Caroline Amiguet","93 min","United States of America","Charthouse, Windsor Film Company","Riley"
"2023-11-03","Documentary, TV Movie","Eddie Murphy, Aline Afanoukoé,","N/A min","France","ARTE, Agat Films & Cie / Ex Nihilo, Agat Films & Cie, ARTE","Eddie Murphy : Hollywood's Black King"
"2023-01-31","Drama, TV Movie","Louis Durant, Éric Caravaca, Anna Biolay, Sandy Afiuni, Mathieu Madénian","90 min","France","Vema Production","Pulse of Life"
"2023-12-23","Drama, Fantasy","Yuya Shintaro, Emi Satsuki, Ken Hatta, Riho Sato, Reno Suzuta","102 min","Japan","Shibuya Productions, Stance Company","Dear Kaita Ablaze"
"2023-11-06","Comedy","Lauren Knutti, Cleopatra Coleman, Haley Joel Osment, RZA, Rosalind Chao","97 min","United States of America","Amasia Entertainment, The Ranch Productions, Utopia","Not an Artist"
"2023-10-11","Drama","Younès Boucif, Hafsia Herzi, Mathieu Perotto, Alexis Manenti, Nina Meurisse","97 min","France","MACT Productions, Marianne Productions","The Rapture"
"2023-05-31","Drama","Charlie Vauselle, Sophie Guillemin, Amely Rakotoarimalala, Mathis Piberne, Quim Gutiérrez","117 min","France, Madagascar, Belgium","Les Films de Pierre, SCOPE Pictures, France 3 Cinéma, DDC International, Memento Films Production, Playtime, Playtime Production","Red Island"
"2023-11-16","Horror, Drama, Fantasy","Abril Zamora, Mimmo Borrelli, Sara Ciocca, Giuseppe Brunetti, Carla Carfagna","103 min","Italy","Indiana Production, Run Film, Rai Cinema, Bartleby Film, Istituto Luce Cinecittà, RAI Cinema, Bartleby, Indiana Production Company, Istituto Luce","Mimì – Prince of Darkness"
"2024-06-28","History","Julio Bracho, Ofelia Medina, María Menéndez, Javi Bauserman,","96 min","Mexico","N/A","Sara: Amor y Revolución"
"2024-11-01","Horror","Alejandro Caballero, Alejandro Niño, Aldo Lira, Carlos Hinojosa, Laura Aldrete","70 min","Mexico","Furia Films, Furia Films","Young Blood"
"2025-09-24","Documentary","Richard Felix, Mark Topping,","60 min","United Kingdom","Creativ Studios","Executions: The Rise and Fall of Capital Punishment"
"2024-10-18","Drama","Bo Mitchell, Drew Pipkin, Lewis Pullman, Timothy Lewis, Jerry Burnett","100 min","United States of America","Chaos Cedar, Carte Blanche, Rebellium Films","The Line"
"2023-11-24","Drama","Greta Fernández, Blanca Portillo, Claudia Traisac, Urko Olazabal, Consuelo Trujillo","96 min","Belgium, Spain","Bluebird Films, Inicia Films, BTeam Pictures","Teresa"
"2023-12-16","Mystery, TV Movie","Javicia Leslie, Arnold Pinnock, Brad James, Kimberly Huie,","90 min","N/A","N/A","The Christmas Detective"
"2023-11-01","Comedy","Paul Diaz, Macy Gray, Mackenzie Clark, Geneva Maccarone, Justin Ross Martin","96 min","N/A","Copper Beech Productions, Wainwright Park Media","Never Alone For Christmas"
"2023-12-05","TV Movie, Comedy, Romance","Justin Lacey, Ella Cannon, Dave Kenneth MacKinnon, Christopher Russell, Mia Harris","90 min","Canada","CMW Lakeside Productions, Champlain Media, Reel One Entertainment","Peppermint and Postcards"
"2023-11-30","Romance","Abena Ayivor, Sello Maake Ka-Ncube, Andrae Todd James Bicy, Thapelo Mokoena, Jennifer Freeman","93 min","South Africa","African Entertainment Distributors, African Entertainment Distributors","A Royal Christmas Surprise"
"2023-09-07","Crime, Drama, Romance","Jana Plodková, Milena Steinmasslová, Marián Mitaš, Marie Poulová, Lucie Juřičková","107 min","Czech Republic","DonArt production, Česká televize, Czech Television","Suppressed"
"2023-04-18","Drama","Dare Oladepo, Onyii Alex, IK Ogbonna, Sandra Okunzuwa, Felix Ugo Omokhodion","135 min","N/A","N/A","The Switch"
